"English","Hindi"
"For your safety please do not touch or cross the yellow line while standing on the platform.","आपकी सुरक्षा के लिए कृपया प्लेटफॉर्म पर खड़े रहते समय पीली रेखा को न छुएं और उसके पार न जाएं।"
"Do not lean out sit on the footboard or travel on the roof of the train. Violators are liable for penalty.","कृपया खिड़की से बाहर न झुकें फुटबोर्ड पर न बैठें और न ही ट्रेन की छत पर यात्रा करें। उल्लंघन करने वालों पर जुर्माना लगाया जाएगा।"
"Unattended baggage may be treated as a security threat and removed or destroyed by authorities.","बिना निगरानी रखा गया सामान सुरक्षा जोखिम माना जा सकता है और प्राधिकरण द्वारा हटाया या नष्ट किया जा सकता है।"
"Please cooperate with security staff during frisking baggage screening and random checks.","कृपया तलाशी सामान की जाँच और आकस्मिक जांच के दौरान सुरक्षा कर्मियों के साथ सहयोग करें।"
"Photography and videography in restricted areas is strictly prohibited.","प्रतिबंधित क्षेत्रों में फोटोग्राफी और वीडियोग्राफी सख्त वर्जित है।"
"Do not accept food drinks or parcels from unknown persons while travelling.","यात्रा के दौरान अजनबी व्यक्तियों से खाना पेय पदार्थ या पार्सल स्वीकार न करें।"
"Smoking including e‑cigarettes is strictly prohibited inside trains coaches terminals and concourse areas.","धूम्रपान जिसमें ई‑सिगरेट भी शामिल है ट्रेनों कोचों टर्मिनल और कंकर्स क्षेत्रों में सख्त वर्जित है।"
"For any suspicious activity or object immediately inform the nearest railway/airport staff or security control room.","किसी भी संदिग्ध गतिविधि या वस्तु की सूचना तुरंत नजदीकी रेलवे/एयरपोर्ट कर्मचारी या सुरक्षा नियंत्रण कक्ष को दें।"
"Help us keep the station and trains clean. Please use dustbins for all waste.","स्टेशन और ट्रेन को स्वच्छ रखने में सहयोग करें। कृपया सभी कचरा डस्टबिन में ही डालें।"
"Spitting littering or defacing station and airport premises is punishable under applicable laws.","स्टेशन और एयरपोर्ट परिसर में थूकना कचरा फैलाना या दीवारों को गंदा करना कानूनन दंडनीय है।"
"Use toilets responsibly and leave them clean for the next passenger.","शौचालयों का जिम्मेदारी से उपयोग करें और उन्हें अगली यात्री के लिए साफ छोड़ें।"
"Please do not throw plastic bottles wrappers or food waste on tracks or apron areas.","कृपया प्लास्टिक की बोतलें रैपर या भोजन का कचरा पटरियों या एप्रन क्षेत्र में न फेंकें।"
"Travelling without a valid ticket or platform pass is an offence and will attract penalty and prosecution.","बिना वैध टिकट या प्लेटफॉर्म पास के यात्रा करना दंडनीय अपराध है और इस पर जुर्माना एवं कानूनी कार्रवाई हो सकती है।"
"Passengers are requested to carry a government‑issued photo ID along with their ticket at all times.","यात्रियों से अनुरोध है कि वे अपने टिकट के साथ हमेशा सरकार द्वारा जारी फोटो पहचान पत्र साथ रखें।"
"Dynamic fares and peak season charges may apply on certain trains and flights. Check fare rules before booking.","कुछ ट्रेनों और उड़ानों पर डायनेमिक किराया और पीक सीज़न शुल्क लागू हो सकते हैं। बुकिंग से पहले किराया नियम अवश्य देखें।"
"Refunds and cancellations are subject to the rules printed on your ticket or displayed on our official website.","धनवापसी और रद्दीकरण आपके टिकट पर मुद्रित या हमारी आधिकारिक वेबसाइट पर प्रदर्शित नियमों के अधीन हैं।"
